rel_path,folder,file_name,duration_sec,sr,channels,peak_dbfs,rms_dbfs,crest_db,spec_centroid_mean,spec_spread_mean,spec_flatness_mean,mfcc01_mean,mfcc02_mean,mfcc03_mean,mfcc04_mean,mfcc05_mean
bd/bd6.wav,bd,bd6.wav,0.3063718820861678,44100.0,2.0,-1.9660443009144801,-10.050120795440415,8.084076494525934,417.6637268066406,1578.4033203125,-37.19385528564453,-135.4402313232422,27.114593505859375,33.863529205322266,25.432836532592773,26.171676635742188
bd/bdu1.wav,bd,bdu1.wav,0.304421768707483,44100.0,2.0,-1.6182593103372653,-10.147063991313786,8.52880468097652,504.4386901855469,1159.7735595703125,-47.808746337890625,-187.81454467773438,47.93512725830078,46.196876525878906,32.259727478027344,25.16493797302246
bd/bdu10.wav,bd,bdu10.wav,0.23077097505668934,44100.0,2.0,-1.1939867023269881,-10.04072251058994,8.846735808262952,325.18988037109375,1075.659423828125,-41.051536560058594,-108.9716796875,60.3444938659668,13.615370750427246,29.578237533569336,27.56770896911621
bd/bdu2.wav,bd,bdu2.wav,0.9019501133786848,44100.0,2.0,-0.999854487670355,-12.832334645216692,11.832480157546337,237.77490234375,1226.4373779296875,-42.505645751953125,-195.72923278808594,36.96092987060547,59.22583770751953,38.265987396240234,31.391756057739258
bd/bdu3.wav,bd,bdu3.wav,0.4972562358276644,44100.0,2.0,-3.4176167054122026,-10.043773587069042,6.62615688165684,252.3457489013672,777.7882690429688,-51.55839157104492,-169.68283081054688,81.7015380859375,60.70695495605469,29.625730514526367,15.424076080322266
bd/bdu4.wav,bd,bdu4.wav,0.5339002267573696,44100.0,2.0,-0.999854487670355,-13.069147963478617,12.069293475808262,928.0032958984375,2230.502197265625,-27.252098083496094,-42.19830322265625,35.797176361083984,-0.06466703116893768,31.121906280517578,6.7360639572143555
bd/bdu5.wav,bd,bdu5.wav,0.23267573696145125,44100.0,2.0,-3.4154562073396577,-10.196412830439881,6.780956623100224,390.18109130859375,1045.0479736328125,-49.14781188964844,-196.12466430664062,58.10895919799805,48.09400939941406,32.587398529052734,34.823734283447266
bd/bdu6.wav,bd,bdu6.wav,0.4794557823129252,44100.0,2.0,-3.347771575513368,-10.159243751633607,6.811472176120239,298.0990905761719,933.06591796875,-49.690059661865234,-182.1595458984375,50.70729446411133,58.39125442504883,45.716773986816406,30.775808334350586
bd/bdu7.wav,bd,bdu7.wav,0.3534467120181406,44100.0,2.0,-0.999854487670355,-11.315209313509452,10.315354825839098,530.2249755859375,1218.099609375,-39.81495666503906,-120.36170196533203,65.68695831298828,32.09803009033203,20.888933181762695,19.350631713867188
bd/bdu8.wav,bd,bdu8.wav,0.21276643990929706,44100.0,2.0,-4.668798712338414,-10.400211559720647,5.7314128473822334,938.1024780273438,1953.01220703125,-34.0047492980957,-119.90263366699219,35.23372268676758,37.087257385253906,28.358205795288086,24.87710952758789
bd/bdu9.wav,bd,bdu9.wav,0.305827664399093,44100.0,2.0,-4.000718530921553,-10.083225855905448,6.0825073249838955,248.22390747070312,817.470947265625,-46.453311920166016,-113.4868392944336,95.81941223144531,14.687592506408691,17.931486129760742,16.595169067382812
